docketnumber,is_pred_correct,decision_margin
04-373,False,9
10-8974,False,8
10-1150,False,9
06-1181,True,5
06-531,True,9
09-11556,True,9
10-844,True,9
07-869,True,6
11-460,True,9
05-1345,True,6
09-223,True,9
09-9000,True,6
05-1342,True,5
06-694,True,7
10-1016,False,5
07-901,True,5
10-114,True,9
10-444,True,5
13-983,True,8
09-958,True,5
06-116,True,5
10-930,True,9
09-520,False,7
10-680,True,6
10-290,True,8
11-1327,False,8
09-525,True,5
11-1285,False,5
10-1121,False,7
11-1447,False,5
11-262,True,8
134 ORIG,False,5
08-289,False,5
09-834,True,6
09-837,True,8
09-1403,True,9
11-465,True,9
13-132,True,9
04-1084,False,8
10-1018,True,9
11-10362,True,9
05-6551,True,6
12-536,True,5
13-1487,True,9
08-267,False,5
05-259,False,9
08-1470,True,5
08-1423,True,4
08-304,True,7
08-305,False,6
08-6261,False,5
13-1314,False,5
06-1646,True,6
07-499,True,8
06-1498,False,4
11-820,False,7
13-894,True,7
13-895,True,5
13-354,False,5
05-1074,True,5
12-43,True,9
13-299,True,9
11-210,False,6
13-352,True,7
08-604,False,9
08-769,False,8
06-1249,False,6
08-1457,True,5
11-597,True,8
11-796,True,9
11-88,True,9
11-798,True,9
08-22,True,5
13-684,True,9
13-9026,True,9
06-1413,False,9
12-142,True,5
08-1224,True,7
08-861,False,5
09-497,True,5
09-1454,True,7
12-398,True,9
12-399,True,5
04-712,True,9
05-493,True,5
12-820,False,9
07-544,True,6
07-543,True,7
07-542,True,5
09-11121,True,5
13-433,True,9
11-5683,True,5
12-1128,True,9
08-6925,True,7
04-1034,True,5
12-417,True,9
10-568,True,9
06-5618,True,9
07-330,True,6
05-785,True,9
11-139,False,5
04-433,True,9
06-5754,True,8
13-854,True,7
05-5992,True,9
12-10882,True,5
13-369,True,9
10-1042,True,9
10-895,True,8
05-608,True,8
09-5327,True,7
05-1256,True,5
13-7120,True,8
10-788,True,9
10-708,False,9
09-1343,True,6
07-1428,False,5
10-1195,True,9
13-1175,False,5
04-1376,False,8
12-52,True,9
04-1371,True,8
04-52,True,9
09-400,True,8
07-1601,True,8
11-864,True,5
07-1356,True,7
13-1352,True,9
05-352,False,5
13-316,False,9
07-615,True,6
13-317,False,9
07-610,True,9
11-393,False,5
07-591,False,5
12-895,False,7
07-1216,False,9
13-193,True,9
09-893,True,5
10-98,False,8
07-208,True,7
05-8820,False,5
11-551,False,5
07-751,True,9
06-1322,True,7
06-1321,True,6
12-562,True,9
05-983,True,7
10-9995,True,9
08-645,True,6
06-1286,False,9
08-351,True,8
04-1414,True,8
08-1301,True,6
08-453,False,5
09-115,False,5
06-340,True,5
05-502,True,8
11-982,False,9
08-1065,False,9
06-1456,True,9
06-1457,True,5
12-1226,True,6
12-17,True,9
12-10,False,6
05-184,True,5
09-987,True,5
06-413,True,5
12-1182,True,6
11-10189,True,5
09-1088,True,5
07-290,False,5
12-696,True,5
07-1315,True,9
09-1298,True,9
11-556,False,5
14-15,True,5
12-133,True,5
12-135,False,9
12-138,True,7
10-1265,True,9
10-1261,True,8
08-911,True,9
10-218,True,9
11-159,True,9
07-371,True,9
12-144,True,5
05-8794,True,9
05-130,True,9
12-873,False,9
12-1315,True,6
06-484,True,8
12-123,True,9
13-534,False,6
06-480,True,5
"138, Orig.",True,5
12-9012,False,9
07-9712,False,7
09-337,True,9
10-1001,False,7
06-9130,False,5
08-1119,True,9
04-1332,False,9
10-1491,False,9
13-553,True,7
09-6822,True,6
05-5966,True,5
06-1287,True,9
12-1163,True,9
10-694,True,9
10-699,True,8
12-1168,False,9
11-1351,True,9
07-1529,False,5
05-85,True,7
13-1019,True,9
05-83,True,7
07-77,True,7
09-1156,True,9
06-1082,True,9
11-1450,True,9
11-697,False,6
04-1527,True,9
06-637,False,4
09-804,False,8
10-779,False,6
04-1528,True,6
13-1499,False,5
10-174,True,8
07-1410,True,9
12-7515,True,9
04-1244,True,8
13-1080,True,9
10-179,False,5
05-381,True,9
05-380,False,5
08-1438,False,6
09-658,True,8
06-1221,True,9
05-260,True,9
08-310,True,7
04-1704,True,9
08-1341,True,7
05-18,True,6
06-457,True,9
12-315,True,6
06-84,True,9
11-817,False,9
07-8521,True,7
06-11543,True,6
11-204,False,5
04-928,True,8
04-1144,True,9
12-416,True,5
12-414,True,9
04-1140,False,9
08-674,True,8
12-794,True,6
08-678,True,9
04-1067,False,5
12-418,True,7
09-479,False,8
09-571,True,5
06-313,False,6
12-1281,True,9
09-475,True,7
10-313,True,8
06-6330,True,7
12-246,False,5
08-810,False,5
08-1332,True,9
11-1274,False,9
09-152,False,6
11-889,False,9
11-1175,False,7
09-10245,False,5
11-338,True,7
09-150,True,6
05-547,True,8
12-25,False,5
11-94,True,6
09-158,True,5
08-495,False,9
04-721,False,9
06-856,True,9
12-1036,False,9
08-7621,False,9
12-1038,True,9
10-1293,True,8
07-10374,True,5
09-1233,False,5
08-88,True,7
09-5201,False,6
05-1448,True,9
10-553,False,9
11-9540,True,8
07-440,True,8
10-382,True,7
11-1221,False,9
10-6,False,8
07-320,True,5
10-10,True,5
07-1114,True,7
04-10566,True,6
05-908,True,5
06-1204,True,7
04-1203,True,9
05-1240,False,7
06-179,True,8
07-10441,True,5
05-7058,True,9
13-7211,True,6
07-11191,False,9
05-1629,True,9
04-1360,False,5
06-1037,True,5
08-586,True,9
04-1581,True,9
08-1553,True,6
12-357,True,9
06-1595,True,9
08-192,True,9
07-1209,True,6
07-588,True,5
07-665,True,9
06-713,True,7
07-582,True,5
07-581,True,5
07-219,True,5
08-7412,True,6
05-1575,True,5
11-564,False,5
07-214,True,9
08-108,True,9
12-515,False,5
11-345,False,7
08-538,True,6
08-103,True,8
11-681,False,5
08-1371,False,5
09-5801,False,4
10-5258,True,9
06-1463,True,8
08-441,False,5
13-298,True,9
06-219,True,7
04-1739,True,6
11-45,False,6
06-1666,False,9
13-1333,True,9
06-1509,True,9
06-1505,True,7
13-461,True,6
06-562,True,9
12-62,True,5
06-11612,False,8
09-587,True,8
06-766,True,9
11-1231,True,9
05-1157,True,7
13-435,False,9
08-214,False,5
12-1497,True,9
12-1493,False,5
04-607,False,5
04-1152,True,8
06-7517,False,5
09-10876,True,5
12-1371,True,9
08-1198,True,5
05-409,True,9
08-1191,False,8
10-1259,False,9
07-1015,True,5
08-969,True,5
09-1273,True,8
09-1272,True,8
12-126,True,5
09-1279,True,8
12-3,True,6
08-964,False,9
08-1200,True,7
09-1476,True,9
13-502,True,9
11-184,True,9
11-182,False,5
06-6911,True,9
06-969,False,5
12-842,False,7
09-530,True,8
08-992,True,8
07-562,False,5
05-128,True,6
10-224,True,9
08-998,True,8
09-737,True,9
12-464,False,6
11-1518,False,9
06-1164,True,7
08-1107,True,9
06-134,False,7
09-329,True,9
10-507,True,9
11-702,False,7
04-1324,True,6
04-1327,True,9
04-1329,True,8
04-805,True,8
12-1173,True,8
07-312,True,7
14-114,True,6
13-1174,True,9
07-1122,True,9
07-1125,True,9
11-1347,True,9
06-1717,True,9
09-11328,False,7
12-547,True,9
11-8976,False,9
04-9728,True,6
10-1104,True,8
10-63,True,7
10-9646,True,5
09-1163,True,8
10-188,True,5
09-60,True,9
08-146,False,6
04-1495,True,5
06-1005,True,5
09-1036,True,8
05-1508,True,5
12-307,True,5
04-1477,True,5
11-9953,False,5
13-935,True,6
11-965,True,9
08-1402,True,9
08-240,False,9
13-1074,False,5
07-1239,True,5
12-98,False,6
13-1371,True,5
12-99,True,6
05-9264,False,5
12-930,False,5
07-636,False,9
05-1056,True,7
08-661,True,9
04-1170,True,5
11-9307,True,6
09-868,False,9
12-786,True,9
10-1219,True,9
12-7822,True,6
04-1618,True,9
12-872,True,9
10-1211,True,6
07-5439,True,7
09-1533,False,9
07-1059,True,9
"132, Orig.",True,6
12-761,True,8
08-1498,True,6
11-1085,True,6
08-1322,True,9
06-1431,True,7
07-6984,True,9
07-474,True,6
08-9156,False,7
11-1160,False,9
06-923,True,6
04-631,True,7
04-980,True,5
08-322,False,8
07-689,True,5
12-1200,True,9
07-526,True,6
09-6338,True,7
12-1146,False,7
05-595,True,9
06-8273,True,7
05-593,False,7
12-207,True,5
06-11206,True,9
09-367,False,5
04-597,True,7
04-593,True,8
08-1394,True,9
10-235,True,5
09-1227,True,9
10-545,True,6
13-7451,True,5
07-455,True,8
04-848,True,7
09-448,True,9
13-550,True,9
06-1195,True,5
05-7053,False,7
11-1545,True,6
11-1425,False,5
06-666,True,7
04-1186,True,8
07-1090,True,9
10-1062,True,9
07-854,True,9
05-1272,False,6
12-815,True,9
13-604,False,8
06-102,True,9
13-115,True,9
10-8145,True,8
09-996,True,9
10-945,True,5
04-1350,True,9
05-1541,True,9
05-1429,True,9
10-948,True,8
06-5306,True,5
13-1402,True,5
07-1372,True,9
09-11311,False,6
08-598,True,9
13-339,True,7
13-1032,True,9
13-1034,True,7
10-1542,True,9
04-1131,True,8
12-5196,False,9
05-9222,False,9
08-295,False,7
07-772,False,6
07-773,True,5
05-200,False,5
06-618,True,8
09-338,True,6
13-6827,True,9
04-1506,False,9
06-6407,True,5
12-236,True,9
10-1399,False,8
05-11284,True,5
06-8120,True,9
12-729,False,9
12-484,True,5
07-1309,False,7
06-571,True,9
10-5443,True,7
08-681,True,7
08-680,True,9
12-71,False,7
13-719,True,5
12-79,False,7
10-5400,True,9
13-975,True,6
08-1448,False,7
08-205,True,5
04-944,True,8
08-1569,True,9
06-989,False,6
05-1284,True,9
05-416,True,6
08-6,True,5
06-984,False,5
09-559,True,8
12-158,True,9
11-626,False,7
08-876,True,9
08-1214,False,7
08-970,True,5
13-9972,True,6
08-974,True,9
09-1498,True,8
12-1408,True,8
11-1059,True,5
11-199,False,9
04-885,False,5
11-1118,True,9
04-881,False,9
08-660,False,9
11-192,True,9
07-552,False,5
07-984,True,6
12-992,True,9
08-472,True,5
09-751,True,8
07-411,False,5
09-529,True,6
08-479,True,8
12-1117,True,9
10-1024,True,5
09-1205,True,9
10-238,False,5
05-669,True,7
06-43,False,5
05-465,True,9
08-1134,False,9
05-705,True,7
14-103,False,6
10-577,False,6
05-1589,True,9
05-5224,True,9
11-713,True,9
13-628,False,6
06-593,True,9
12-1184,True,9
07-308,True,9
10-76,True,9
11-246,False,8
12-574,True,9
13-1010,True,9
"137, Orig.",True,7
06-10119,True,7
05-848,True,9
13-271,False,7
12-462,True,9
06-157,True,5
14-86,True,8
04-1544,True,9
07-9995,False,9
06-11429,True,9
12-9490,False,5
10-875,True,5
07-6053,False,6
07-1437,True,9
04-1264,True,7
10-879,False,6
08-728,True,7
08-1008,True,5
08-1555,True,9
08-724,True,9
10-1320,True,6
13-1041,False,9
13-301,False,9
04-8990,True,5
07-21,False,6
05-1126,True,7
05-1120,True,5
12-929,True,9
07-1223,False,9
07-608,True,7
12-609,True,9
04-905,True,7
10-704,True,6
05-998,True,8
08-1529,True,9
11-9335,True,5
08-1521,True,5
05-996,True,5
08-651,True,7
07-210,True,9
04-759,True,9
10-277,True,5
06-376,False,9
12-96,False,5
04-698,False,6
06-278,True,5
12-751,True,9
10-8505,True,5
13-1211,True,9
09-1159,False,7
12-167,True,9
08-1314,True,8
06-939,True,7
07-512,True,9
07-513,False,5
05-1631,True,8
06-427,True,9
06-937,True,9
09-993,False,5
12-682,True,6
04-623,False,6
05-204,False,5
08-1175,True,7
05-11304,True,5
04-473,True,5
09-350,True,8
05-746,True,9
09-291,True,8
06-5247,True,5
10-1472,True,6
08-905,True,9
09-846,True,7
13-517,True,9
06-7949,False,7
12-8561,True,5
10-209,True,5
11-166,True,8
11-1025,True,5
11-161,False,6
10-637,False,9
10-6549,True,7
08-67,True,6
08-5274,False,7
11-770,True,6
09-907,True,8
07-463,True,5
13-483,True,9
07-343,False,5
