"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes"
"2004-001","2004-001-01","2004-001-01-01","2004-001-01-01-01",11/9/2004,1,"543 U.S. 1","125 S. Ct. 377","160 L. Ed. 2d 271","2004 U.S. LEXIS 7511",2004,1607,"Rehnquist","03-583","JOSUE LEOCAL v. JOHN D. ASHCROFT, ATTORNEY GENERAL, et al.",10/12/2004,,106,,1,,1,7,,0,31,,31,,0,2,9,1,1,4,0,1,0,0,20110,2,2,0,4,,3,339,,102,102,1,9,0
"2004-002","2004-002-01","2004-002-01-01","2004-002-01-01-01",11/9/2004,1,"543 U.S. 14","125 S. Ct. 385","160 L. Ed. 2d 283","2004 U.S. LEXIS 7510",2004,1607,"Rehnquist","02-1028","NORFOLK SOUTHERN RAILWAY COMPANY v. JAMES N. KIRBY, PTY LTD., DBA KIRBY ENGINEERING, AND ALLIANZ AUSTRALIA INSURANCE LIMITED",10/6/2004,,231,,184,,1,,,0,60,,31,,1,11,3,2,1,4,0,1,0,0,80070,8,1,0,7,,,,,104,102,1,9,0
"2004-003","2004-003-01","2004-003-01-01","2004-003-01-01-01",11/15/2004,2,"543 U.S. 37","125 S. Ct. 400","160 L. Ed. 2d 303","2004 U.S. LEXIS 7668",2004,1607,"Rehnquist","04-5323","LAROYCE LATHAIR SMITH v. TEXAS",,,126,,28,51,1,,,0,302,51,300,51,0,12,2,1,1,4,0,1,0,0,10130,1,2,0,2,7,2,221,,,,1,7,2
"2004-004","2004-004-01","2004-004-01-01","2004-004-01-01-01",11/30/2004,1,"543 U.S. 50","125 S. Ct. 460","160 L. Ed. 2d 389","2004 U.S. LEXIS 7979",2004,1607,"Rehnquist","03-377","KOONS BUICK PONTIAC GMC, INC. v. BRADLEY NIGH",10/5/2004,,125,,123,,1,,,0,126,,24,,1,2,2,2,1,4,0,1,0,0,80170,8,1,0,4,,3,373,,109,102,1,8,1
"2004-005","2004-005-01","2004-005-01-01","2004-005-01-01-01",12/6/2004,2,"543 U.S. 77","125 S. Ct. 521","160 L. Ed. 2d 410","2004 U.S. LEXIS 8165",2004,1607,"Rehnquist","03-1669","CITY OF SAN DIEGO, CALIFORNIA et al. v. JOHN ROE",,,3,6,8,6,1,,,0,51,,29,,0,12,4,2,1,3,0,1,0,0,30010,3,1,0,2,,2,200,,,,1,9,0
"2004-006","2004-006-01","2004-006-01-01","2004-006-01-01-01",12/7/2004,1,"543 U.S. 86","125 S. Ct. 526","160 L. Ed. 2d 418","2004 U.S. LEXIS 8168",2004,1607,"Rehnquist","105 ORIG","STATE OF KANSAS v. STATE OF COLORADO",10/4/2004,,28,20,28,7,9,,,0,,,,,0,,,3,1,,0,0,0,0,110020,11,3,0,4,,6,600,"63 Stat. 145",110,102,1,8,1
"2004-007","2004-007-01","2004-007-01-01","2004-007-01-01-01",12/8/2004,1,"543 U.S. 111","125 S. Ct. 542","160 L. Ed. 2d 440","2004 U.S. LEXIS 8170",2004,1607,"Rehnquist","03-409","KP PERMANENT MAKE-UP, INC. v. LASTING IMPRESSION I, INC., et al.",10/5/2004,,184,,172,,1,,,0,48,,29,,0,2,4,1,1,5,0,1,0,0,80200,8,2,0,4,,6,600,"15 U.S.C. § 1115",107,102,1,9,0
"2004-008","2004-008-01","2004-008-01-01","2004-008-01-01-01",12/13/2004,1,"543 U.S. 125","125 S. Ct. 564","160 L. Ed. 2d 519","2004 U.S. LEXIS 8273",2004,1607,"Rehnquist","03-407","JOHN F. KOWALSKI, JUDGE, 26TH JUDICIAL CIRCUIT COURT OF MICHIGAN, et al. v. JOHN C. TESMER, et al.",10/4/2004,,16,27,111,,1,,,0,81,,26,,1,12,3,2,1,4,0,1,0,0,90240,9,1,0,1,,1,139,,102,102,1,6,3
"2004-009","2004-009-01","2004-009-01-01","2004-009-01-01-01",12/13/2004,1,"543 U.S. 146","125 S. Ct. 588","160 L. Ed. 2d 537","2004 U.S. LEXIS 8272",2004,1607,"Rehnquist","03-710","GERALD DEVENPECK, et al. v. JEROME ANTHONY ALFORD",11/8/2004,,8,56,100,,1,,,0,,,29,,1,12,4,2,1,4,0,1,0,0,10050,1,1,0,2,,2,205,,105,103,1,8,0
"2004-010","2004-010-01","2004-010-01-01","2004-010-01-01-01",12/13/2004,1,"543 U.S. 157","125 S. Ct. 577","160 L. Ed. 2d 548","2004 U.S. LEXIS 8271",2004,1607,"Rehnquist","02-1192","COOPER INDUSTRIES, INC. v. AVIALL SERVICES, INC.",10/6/2004,,184,,122,,1,,,0,120,,25,,1,12,4,2,1,4,0,1,0,0,80130,8,1,0,4,,6,600,"42 U.S.C. § 9613",108,102,1,7,2
