,amicus,argDate,argMonth,argYear,caseName,cutoffs_ALL,cutoffs_BREYER,cutoffs_GINSBURG,cutoffs_KENNEDY,cutoffs_ROBERTS,cutoffs_SCALIA,decDate,majVotes,minVotes,winner,words_BREYER,words_GINSBURG,words_KENNEDY,words_ROBERTS,words_SCALIA,sentiment_BREYER,sentiment_GINSBURG,sentiment_KENNEDY,sentiment_ROBERTS,sentiment_SCALIA,petitioner_dk,respondent_dk,caseOrigin_circuit,caseSource_circuit,source_origin_diff,lcDispositionDirection,lcDisposition,issueArea,certReason,jurisdiction,adminAction,adminActionState,BREYER_pet_wc,BREYER_res_wc,BREYER_pet_qc,BREYER_res_qc,BREYER_pet_cc,BREYER_res_cc,GINSBURG_pet_wc,GINSBURG_res_wc,GINSBURG_pet_qc,GINSBURG_res_qc,GINSBURG_pet_cc,GINSBURG_res_cc,KENNEDY_pet_wc,KENNEDY_res_wc,KENNEDY_pet_qc,KENNEDY_res_qc,KENNEDY_pet_cc,KENNEDY_res_cc,ROBERTS_pet_wc,ROBERTS_res_wc,ROBERTS_pet_qc,ROBERTS_res_qc,ROBERTS_pet_cc,ROBERTS_res_cc,SCALIA_pet_wc,SCALIA_res_wc,SCALIA_pet_qc,SCALIA_res_qc,SCALIA_pet_cc,SCALIA_res_cc
04-1034,1,2/21/2006,2,2006,JOHN A. RAPANOS ET UX. et al. v. UNITED STATES,-5,1,-1,0,0.333333333,0.052631579,6/19/2006,5,4,1,1,-1,-0.034482759,0.36743215,0.142857143,-0.15862069,0.069967532,0.058712121,0.005434174,-0.02720456,0.0,2.0,6.0,6.0,1,2.0,2.0,8,11.0,1,1,0,0,390,0,12,1,24,292,0,12,0,20,1,196,182,5,2,11,10,303,655,9,8,21,37,748,980,14,12,52,56
04-10566,-1,3/29/2006,3,2006,MOISES SANCHEZ-LLAMAS v. OREGON,-3,0.214285714,-0.428571429,0.555555556,-0.25,-0.818181818,6/28/2006,6,3,0,0.291150848,-0.230769231,-0.209653092,-0.186516854,-0.903157895,-0.029747431,-0.048099297,-0.013184658,-0.15381253,0.061643438,9.0,5.0,0.0,0.0,1,1.0,2.0,1,12.0,1,0,0,775,1412,11,22,49,80,401,250,5,8,21,13,401,265,4,11,20,22,537,370,6,7,24,18,501,23,15,1,33,2
04-1067,1,11/8/2005,11,2005,GEORGIA v. SCOTT FITZ RANDOLPH,4,1,-0.333333333,-0.6,0.714285714,-0.818181818,3/22/2006,5,3,0,1,-0.616666667,-0.7,0.566037736,-0.980066445,-0.088777056,0.091458333,0.005833333,0.063267824,0.03266369,5.0,3.0,0.0,0.0,1,2.0,2.0,1,6.0,1,0,0,0,822,0,9,1,57,291,69,5,2,23,6,298,51,4,1,19,7,139,505,0,9,8,30,304,7,6,0,26,3
04-1084,0,11/1/2005,11,2005,ALBERTO R. GONZALES ATTORNEY GENERAL et al. v. O CENTRO ESPIRITA BENEFICENTE UNIAO DO VEGETAL et al.,-2,-0.2,-0.666666667,0.333333333,0.333333333,0.28,2/21/2006,8,0,0,0.369472183,-0.386138614,-0.093333333,-0.010494753,0.320825516,0.019966687,-0.111318681,-0.041454545,-0.047952098,0.117112811,2.0,15.0,10.0,10.0,1,2.0,2.0,3,2.0,1,0,0,221,556,1,12,20,51,498,217,9,4,34,13,214,170,4,1,13,8,337,330,6,6,19,29,181,381,0,6,13,37
04-1131,0,12/5/2005,12,2005,TERRY L. WHITMAN v. DEPARTMENT OF TRANSPORTATION et al.,7,0.125,1,1,0.333333333,-0.230769231,6/5/2006,8,0,1,-0.064615385,0.409181637,0.026022305,-0.729032258,-0.178389399,-0.043209325,0.259129464,0.155069444,0.026456207,0.087824405,11.0,2.0,9.0,9.0,1,1.0,2.0,9,11.0,1,0,0,871,760,11,6,57,41,148,355,1,2,9,24,131,138,1,1,8,6,268,42,5,2,12,4,578,405,8,5,39,18
04-1140,0,11/8/2005,11,2005,GERALD T. MARTIN ET UX. v. FRANKLIN CAPITAL CORPORATION et al.,-4,-0.714285714,-0.454545455,0.333333333,-0.2,1,12/7/2005,9,0,0,-0.602620087,-0.517241379,-0.341463415,-0.235294118,1,0.32205267,-0.083727241,-0.062202381,-0.003333333,-0.004398148,14.0,1.0,10.0,10.0,1,1.0,2.0,6,2.0,1,0,0,367,130,7,1,25,11,396,126,7,1,30,9,165,81,2,3,12,6,294,182,0,1,12,9,0,228,0,4,1,15
04-1144,1,11/30/2005,11,2005,KELLY A. AYOTTE ATTORNEY GENERAL OF NEW HAMPSHIRE v. PLANNED PARENTHOOD OF NORTHERN NEW ENGLAND et al.,4,0,0,0.6,0.428571429,0.5,1/18/2006,9,0,1,-0.254421769,-0.402597403,0.120521173,0.396449704,0.052054795,0.1135386,-0.023327637,0.01308171,0.013951049,-0.129584459,0.0,14.0,1.0,1.0,1,2.0,2.0,5,11.0,1,0,0,492,277,11,2,23,9,575,230,5,2,36,11,135,172,5,0,9,10,153,354,2,5,7,20,177,192,4,2,14,12
04-1152,0,12/6/2005,12,2005,DONALD H. RUMSFELD SECRETARY OF DEFENSE et al. v. FORUM FOR ACADEMIC AND INSTITUTIONAL RIGHTS INC. et al.,58,0.714285714,0.4,0.034482759,0.846153846,0.785714286,3/6/2006,8,0,1,0.492776886,0.019677996,0.176470588,0.699658703,0.165467626,-0.07126713,-0.01276455,-0.014672619,-0.027619048,-0.116143317,2.0,14.0,3.0,3.0,1,2.0,4.0,3,12.0,1,0,0,158,475,3,3,11,35,274,285,4,3,17,17,171,240,3,4,18,22,49,252,0,3,3,23,348,486,5,9,14,42
04-1170,0,4/25/2006,4,2006,KANSAS v. MICHAEL LEE MARSH II,7,0.2,0,1,0.5,0.333333333,6/26/2006,5,4,1,-0.140562249,0.265625,0.38658147,0.275766017,0.583802025,-0.003387897,0,-0.033333333,0.096212121,-0.007841615,5.0,3.0,0.0,0.0,1,2.0,4.0,1,2.0,1,0,0,426,321,3,2,16,26,47,81,1,2,2,8,96,227,1,1,6,14,130,236,1,4,6,14,185,728,3,14,11,48
04-1186,1,11/28/2005,11,2005,WACHOVIA BANK NATIONAL ASSOCIATION v. DANIEL G. SCHMIDT III et al.,-16,1,0.2,-1,-1,-0.5,1/17/2006,8,0,1,1,0.202505219,-1,-0.424516129,-0.352323838,0.075,0.085947712,0,0.205339648,-0.088934676,1.0,8.0,4.0,4.0,1,2.0,5.0,9,2.0,1,0,0,0,84,0,3,1,5,191,288,4,4,13,17,28,0,1,0,2,1,553,223,11,9,39,16,461,244,4,4,24,13
