docket,name,term,decision_margin,kks_correct,courtcast_correct,mplus_correct
04-373,MARYLAND v. LEEANDER JEROME BLAKE,2005,9.0,0,0,1
10-8974,BARION PERRY v. NEW HAMPSHIRE,2011,8.0,0,0,0
10-1150,"MAYO COLLABORATIVE SERVICES, DBA MAYO MEDICAL LABORATORIES, et al., PETITIONERS v. PROMETHEUS LABORATORIES, INC.",2011,9.0,0,0,1
06-1181,DADA v. MUKASEY,2007,5.0,1,1,0
06-531,"MICHAEL W. SOLE, SECRETARY, FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION, et al. v. T. A. WYNER, et al.",2006,9.0,1,1,1
09-11556,"JOSE TOLENTINO, PETITIONER v. NEW YORK",2010,9.0,1,1,1
10-844,"CARACO PHARMACEUTICAL LABORATORIES, LTD., et al., PETITIONERS v. NOVO NORDISK A/S et al.",2011,9.0,1,1,1
07-869,"BEN YSURSA, IDAHO SECRETARY OF STATE, et al. v. POCATELLO EDUCATION ASSOCIATION et al.",2008,6.0,1,1,1
11-460,"LOS ANGELES COUNTY FLOOD CONTROL DISTRICT PETITIONER v. NATURAL RESOURCES DEFENSE COUNCIL, INC., et al.",2012,9.0,1,1,1
05-1345,"UNITED HAULERS ASSOCIATION, INC., et al. v. ONEIDA-HERKIMER SOLID WASTE MANAGEMENT AUTHORITY, et al.",2006,6.0,1,1,0
09-223,"RICHARD A. LEVIN, TAX COMMISSIONER OF OHIO v. COMMERCE ENERGY, INC., et al.",2009,9.0,1,1,1
09-9000,"HENRY W. SKINNER, PETITIONER v. LYNN SWITZER, DISTRICT ATTORNEY FOR THE 31ST JUDICIAL DISTRICT OF TEXAS",2010,6.0,1,1,1
05-1342,"LINDA A. WATTERS, COMMISSIONER, MICHIGAN OFFICE OF INSURANCE AND FINANCIAL SERVICES v. WACHOVIA BANK, N. A., et al.",2006,5.0,1,1,0
06-694,UNITED STATES v. MICHAEL WILLIAMS,2007,7.0,1,1,1
10-1016,"DANIEL COLEMAN, PETITIONER v. COURT OF APPEALS OF MARYLAND et al.",2011,5.0,0,0,0
07-901,OREGON v. THOMAS EUGENE ICE,2008,5.0,1,1,1
10-114,"RICKY D FOX, PETITIONER v. JUDY ANN VICE, AS EXECUTRIX OF THE ESTATE OF VICE, et al.",2010,9.0,0,1,1
10-444,"MISSOURI, PETITIONER v. GALIN E. FRYE",2011,5.0,1,1,1
13-983,ELONIS v. UNITED STATES,2014,8.0,1,1,1
09-958,"TOBY DOUGLAS, DIRECTOR, CALIFORNIA DEPARTMENT OF HEALTH CARE SERVICES, PETITIONER v. INDEPENDENT LIVING CENTER OF SOUTHERN CALIFORNIA, INC., et al.",2011,5.0,1,1,1
06-116,"ALICIA G. LIMTIACO, ATTORNEY GENERAL OF GUAM v. FELIX P. CAMACHO, GOVERNOR OF GUAM",2006,5.0,1,1,1
10-930,"CHARLES L. RYAN, PETITIONER v. ERNEST VALENCIA GONZALES",2012,9.0,1,1,1
09-520,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",2010,7.0,0,0,1
10-680,"CAROL HOWES, WARDEN, PETITIONER v. RANDALL LEE FIELDS",2011,6.0,1,1,1
10-290,"MICROSOFT CORPORATION, PETITIONER v. I4I  LIMITED PARTNERSHIP et al.",2010,8.0,1,1,0
11-1327,"LAMAR EVANS, PETITIONER v. MICHIGAN",2012,8.0,0,0,1
09-525,"JANUS CAPITAL GROUP, INC., et al., PETITIONERS v. FIRST DERIVATIVE TRADERS",2010,5.0,1,1,1
11-1285,"US AIRWAYS, INC., IN ITS CAPACITY AS FIDUCIARY AND PLAN ADMINISTRATOR OF THE US AIRWAYS, INC. EMPLOYEE BENEFITS PLAN, PETITIONER v. JAMES E. MCCUTCHEN et al.",2012,5.0,0,0,1
10-1121,"DIANNE KNOX, et al., PETITIONERS v. SERVICE EMPLOYEES INTERNATIONAL UNION, LOCAL 1000",2011,7.0,1,0,1
11-1447,KOONTZ v. ST. JOHNS RIVER WATER MGMT. DIST.,2012,5.0,0,0,1
