Docket,Term,Majority Votes,Predicted,Actual
04-1034,2005,5.0,1,1
04-10566,2005,6.0,0,0
04-1067,2005,5.0,1,0
04-1084,2005,8.0,1,0
04-1131,2005,8.0,1,1
04-1140,2005,9.0,0,0
04-1144,2005,9.0,1,1
04-1152,2005,8.0,1,1
04-1170,2005,5.0,1,1
04-1186,2005,8.0,1,1
04-1203,2005,9.0,1,1
04-1244,2005,8.0,1,1
04-1264,2005,7.0,1,1
04-1324,2005,6.0,0,0
04-1327,2005,9.0,0,1
04-1329,2005,8.0,1,1
04-1332,2005,9.0,0,1
04-1350,2006,9.0,1,1
04-1360,2005,5.0,1,0
04-1371,2005,8.0,1,1
04-1376,2005,8.0,0,0
04-1414,2005,8.0,1,1
04-1477,2005,5.0,1,1
04-1495,2005,5.0,1,1
04-1506,2005,9.0,1,0
04-1527,2005,9.0,0,0
04-1528,2005,6.0,1,1
04-1544,2005,9.0,0,1
04-1581,2005,9.0,0,1
04-1618,2005,9.0,1,1
04-1704,2005,9.0,1,1
04-1739,2005,6.0,1,1
04-373,2005,9.0,1,0
04-433,2005,9.0,1,1
04-473,2005,5.0,1,1
04-52,2005,9.0,1,1
04-593,2005,8.0,1,1
04-597,2005,7.0,1,1
04-607,2005,5.0,1,0
04-623,2005,6.0,1,0
04-631,2005,7.0,1,1
04-698,2005,6.0,0,0
04-712,2005,9.0,1,1
04-721,2005,9.0,1,1
04-759,2005,9.0,1,1
04-805,2005,8.0,1,1
04-848,2005,7.0,1,1
04-881,2005,9.0,0,0
04-885,2005,5.0,1,0
04-8990,2005,5.0,1,1
04-905,2005,7.0,1,1
04-928,2005,8.0,1,1
04-944,2005,8.0,1,1
04-9728,2005,6.0,0,0
04-980,2005,5.0,1,1
05-1056,2006,7.0,1,1
05-1074,2006,5.0,1,0
05-1120,2006,5.0,1,1
05-1126,2006,7.0,1,1
05-11284,2006,5.0,1,1
05-11304,2006,5.0,1,1
05-1157,2006,7.0,1,1
05-1240,2006,7.0,0,0
05-1256,2006,5.0,0,1
05-1272,2006,6.0,1,1
05-128,2005,6.0,1,1
05-1284,2006,9.0,1,1
05-130,2005,9.0,0,1
05-1342,2006,5.0,0,0
05-1345,2006,6.0,0,0
05-1429,2006,9.0,1,1
05-1448,2006,9.0,1,1
05-1508,2006,5.0,1,0
05-1541,2006,9.0,0,0
05-1575,2006,5.0,1,1
05-1589,2006,9.0,1,1
05-1629,2006,9.0,1,1
05-1631,2006,8.0,1,1
05-18,2005,6.0,1,1
05-184,2005,5.0,1,1
05-200,2005,5.0,1,0
05-204,2005,5.0,0,1
05-259,2005,9.0,0,0
05-260,2005,9.0,0,0
05-352,2005,5.0,1,0
05-380,2006,5.0,1,1
05-381,2006,9.0,1,1
05-409,2005,9.0,1,1
05-416,2005,6.0,1,1
05-465,2005,9.0,1,1
05-493,2006,5.0,1,1
05-502,2005,8.0,1,1
05-5224,2005,9.0,1,0
05-547,2006,8.0,1,1
05-593,2006,7.0,0,0
05-595,2006,9.0,1,1
05-5966,2005,5.0,0,0
05-5992,2005,9.0,1,1
05-608,2006,8.0,1,1
05-6551,2006,6.0,1,1
05-669,2006,7.0,1,0
05-705,2006,7.0,1,0
05-7053,2005,7.0,0,0
05-7058,2006,9.0,1,1
05-746,2006,9.0,1,1
05-785,2006,9.0,1,1
05-83,2005,7.0,1,1
05-848,2006,9.0,1,1
05-85,2006,7.0,1,1
05-8794,2005,9.0,0,1
05-8820,2006,5.0,1,0
05-908,2006,5.0,1,1
05-9222,2006,9.0,1,0
05-9264,2006,5.0,1,0
05-983,2006,7.0,1,1
05-996,2006,5.0,0,0
05-998,2006,8.0,1,1
06-1005,2007,5.0,0,0
06-10119,2007,7.0,1,1
06-102,2006,9.0,1,1
06-1037,2007,5.0,1,1
06-1082,2007,9.0,1,1
06-11206,2008,9.0,1,1
06-11429,2007,9.0,0,0
06-11543,2007,6.0,1,1
06-116,2006,5.0,1,1
06-11612,2007,8.0,0,0
06-1164,2007,7.0,1,0
06-1181,2007,5.0,1,1
06-1195,2007,5.0,1,1
06-1204,2007,7.0,1,1
06-1221,2007,9.0,1,1
06-1249,2008,6.0,1,0
06-1286,2007,9.0,1,0
06-1287,2007,9.0,1,1
06-1321,2007,6.0,0,1
06-1322,2007,7.0,0,0
06-134,2006,7.0,0,0
06-1413,2007,9.0,1,0
06-1431,2007,7.0,1,0
06-1456,2007,9.0,1,1
06-1457,2007,5.0,1,1
06-1463,2007,8.0,1,1
06-1498,2007,4.0,1,0
06-1505,2007,7.0,1,1
06-1509,2007,9.0,1,1
06-157,2006,5.0,1,1
06-1595,2008,9.0,1,1
06-1646,2007,6.0,1,1
06-1666,2007,9.0,1,0
06-1717,2007,9.0,1,1
06-179,2007,8.0,0,0
06-219,2006,7.0,1,1
06-278,2006,5.0,1,1
06-313,2006,6.0,1,0
06-340,2006,5.0,1,1
06-376,2006,9.0,1,0
06-413,2006,5.0,1,1
06-427,2006,9.0,1,1
06-43,2007,5.0,0,0
06-457,2007,9.0,0,0
06-480,2006,5.0,1,1
06-484,2006,8.0,1,1
06-5247,2006,5.0,0,0
06-5306,2006,5.0,0,0
06-531,2006,9.0,1,1
06-5618,2006,9.0,1,0
06-562,2006,9.0,1,0
06-571,2007,9.0,1,1
06-5754,2006,8.0,1,0
06-593,2006,9.0,1,1
